Ensembl Gene ID	Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand
YER126C	NSA2	5	413394	414179	-1
YMR246W	FAA4	13	759807	761891	1
YLR201C	COQ9	12	549511	550293	-1
YPL031C	PHO85	16	492018	493037	-1
YJL098W	SAP185	10	242082	245258	1
Q0142		Mito	51052	51228	1
YBR059C	AKL1	2	356861	360187	-1
YDR445C		4	1352182	1352589	-1
YFL015W-A		6	106415	106732	1
YGR020C	VMA7	7	526973	527329	-1
YHR091C	MSR1	8	284839	286770	-1
YIR039C	YPS6	9	430498	432111	-1
YAR047C		1	201467	201787	-1
YML066C	SMA2	13	140424	141533	-1
YDR501W	PLM2	4	1451353	1452918	1
YNL088W	TOP2	14	457704	461990	1
YKR043C	SHB17	11	520897	521712	-1
YNL053W	MSG5	14	529942	531411	1
YDR137W	RGP1	4	728259	730250	1
YDR400W	URH1	4	1271063	1272085	1
YBR231C	SWC5	2	682179	683090	-1
YDL120W	YFH1	4	245923	246447	1
YER082C	UTP7	5	324272	325936	-1
YHL043W	ECM34	8	14901	15413	1
YLR151C	PCD1	12	441715	442737	-1
YFR021W	ATG18	6	194812	196314	1
YML121W	GTR1	13	26930	27862	1
YNL033W		14	572999	573853	1
YLR310C	CDC25	12	752224	756993	-1
YDR048C		4	553084	553398	-1
YGR087C	PDC6	7	651290	652981	-1
YGR244C	LSC2	7	978036	979319	-1
YGL255W	ZRT1	7	20978	22108	1
YNL036W	NCE103	14	559814	560479	1
YHR046C	INM1	8	197398	198285	-1
YKR071C	DRE2	11	574934	575980	-1
YOR016C	ERP4	15	360461	361084	-1
YGR063C	SPT4	7	617516	617824	-1
YLL019W-A		12	106908	107000	1
YML065W	ORC1	13	142210	144954	1
YPR005C	HAL1	16	565787	566671	-1
YAR003W	SWD1	1	155005	156285	1
YGR223C	HSV2	7	940869	942215	-1
YHR021W-A	ECM12	8	149225	149680	1
YFL062W	COS4	6	6426	7565	1
YDR537C		4	1510856	1511461	-1
YMR267W	PPA2	13	801772	802704	1
YPL093W	NOG1	16	370978	372921	1
YJR034W	PET191	10	496683	497009	1
YNL077W	APJ1	14	481391	482977	1
YPL160W	CDC60	16	246990	250262	1
YGL185C		7	153167	154306	-1
YDR456W	NHX1	4	1367485	1369386	1
YKL175W	ZRT3	11	118793	120304	1
YGL190C	CDC55	7	145809	147389	-1
YMR262W		13	793726	794667	1
YOR101W	RAS1	15	515244	516173	1
YGL005C	COG7	7	489708	490547	-1
YNL125C	ESBP6	14	390146	392167	-1
YBL019W	APN2	2	184353	185915	1
YBR043C	QDR3	2	321876	323945	-1
YDL231C	BRE4	4	38867	42244	-1
YML101C	CUE4	13	69735	70088	-1
YKL037W	AIM26	11	369365	369721	1
YOL094C	RFC4	15	141584	142555	-1
YMR077C	VPS20	13	421484	422149	-1
YPR007C	REC8	16	569336	571378	-1
YIL067C		9	235724	237760	-1
YMR108W	ILV2	13	484084	486147	1
YJL033W	HCA4	10	383837	386149	1
YKL179C	COY1	11	110464	112503	-1
YPL126W	NAN1	16	310210	312900	1
YEL041W	YEF1	5	75944	77431	1
YGL208W	SIP2	7	97338	98585	1
YLL036C	PRP19	12	66745	68256	-1
YNL113W	RPC19	14	412771	413199	1
YKR099W	BAS1	11	635851	638286	1
YGL025C	PGD1	7	448764	449957	-1
YBR171W	SEC66	2	578364	578984	1
YDL005C	MED2	4	441014	442309	-1
YNL031C	HHT2	14	575640	576050	-1
YGR226C		7	946792	947001	-1
YOR146W		15	605873	606178	1
YDL056W	MBP1	4	352877	355378	1
YML120C	NDI1	13	28266	29807	-1
YOR384W	FRE5	15	1061564	1063648	1
YLL021W	SPA2	12	100947	105347	1
YGR048W	UFD1	7	589826	590911	1
YOL149W	DCP1	15	44938	45633	1
YHR032W-A		8	175195	175374	1
YML129C	COX14	13	14541	14753	-1
YIL059C		9	246550	246915	-1
YBR220C		2	662995	664677	-1
YLR317W		12	765655	766089	1
YPL058C	PDR12	16	445842	450377	-1
YOL154W	ZPS1	15	34658	35407	1
YBR227C	MCX1	2	673572	675134	-1
YER165W	PAB1	5	510373	512106	1
YNR056C	BIO5	14	731618	733303	-1
YNL327W	EGT2	14	24048	27173	1
YOR130C	ORT1	15	569929	570807	-1
YJL181W		10	85660	87495	1
YDL039C	PRM7	4	381985	384081	-1
YER016W	BIM1	5	188277	189311	1
YPL099C	AIM43	16	363520	364068	-1
YNL242W	ATG2	14	191324	196102	1
YDR365W-B		4	1206997	1212265	1
YLR099W-A		12	341325	341588	1
YMR058W	FET3	13	388822	390732	1
YNL297C	MON2	14	71673	76583	-1
YAL018C		1	118564	119541	-1
YOL078W	AVO1	15	181682	185212	1
YEL002C	WBP1	5	148722	150014	-1
YJL156C	SSY5	10	126853	128952	-1
YCL032W	STE50	3	63441	64481	1
YMR166C		13	593367	594473	-1
YNL146C-A		14	351386	351580	-1
YDR034C-A		4	520516	520692	-1
YPL050C	MNN9	16	460779	461966	-1
YDR510W	SMT3	4	1469400	1469705	1
YER158W-A		5	491487	491702	1
YLR327C	TMA10	12	783127	783387	-1
YPL277C		16	15405	16868	-1
YOR139C		15	586950	587342	-1
YBR116C		2	474199	474726	-1
YLR142W	PUT1	12	425186	426616	1
YPL257W		16	63279	63860	1
YLR104W	LCL2	12	346585	346980	1
YNL222W	SSU72	14	229094	229714	1
YKR051W		11	530946	532202	1
YLR291C	GCD7	12	718317	719462	-1
YBR293W	VBA2	2	787006	788430	1
YLR412W	BER1	12	948368	949192	1
YFR040W	SAP155	6	234242	237250	1
YNR067C	DSE4	14	755746	759099	-1
YNL074C	MLF3	14	486766	488124	-1
YBR021W	FUR4	2	281443	283344	1
YML021C	UNG1	13	229734	230813	-1
YER038C	KRE29	5	226858	228252	-1
YNL044W	YIP3	14	545268	545877	1
YHR007C-A		8	122550	122765	-1
YER060W-A	FCY22	5	276572	278164	1
YDR203W		4	857682	857999	1
YER173W	RAD24	5	536300	538279	1
YOR190W	SPR1	15	690695	692032	1
YML048W	GSF2	13	178426	179637	1
YBR130C	SHE3	2	495592	496869	-1
YPR072W	NOT5	16	690107	691789	1
YFR012W-A		6	169224	169310	1
YHR048W	YHK8	8	204607	206151	1
YHL006C	SHU1	8	98343	98795	-1
YHL034C	SBP1	8	33193	34077	-1
YDR418W	RPL12B	4	1301616	1302113	1
YGR270C-A		7	1027382	1027600	-1
YLR183C	TOS4	12	520543	522012	-1
YIR024C		9	402841	403491	-1
YCR038C	BUD5	3	197621	199549	-1
YOL155C	HPF1	15	28703	31606	-1
YIL009C-A	EST3	9	335666	336212	-1
YJR040W	GEF1	10	507746	510085	1
YJL037W	IRC18	10	376662	377336	1
YOR059C		15	438906	440258	-1
YMR325W	PAU19	13	922641	923015	1
YGL149W		7	225572	225877	1
YGR271W	SLH1	7	1031791	1037694	1
YGR173W	RBG2	7	843854	844960	1
YNR002C	ATO2	14	633008	633856	-1
YMR172C-A		13	607828	608211	-1
YIL158W	AIM20	9	46201	46815	1
YBR086C	IST2	2	420201	423041	-1
YLR361C-A		12	849383	849679	-1
YOR027W	STI1	15	381053	382822	1
YER048W-A	ISD11	5	250718	251002	1
YML090W		13	90744	91130	1
YDR210W-B		4	872112	877425	1
YHR164C	DNA2	8	424610	429178	-1
YGR278W	CWC22	7	1046731	1048464	1
Q0085	ATP6	Mito	28487	29266	1
YPR150W		16	830999	831520	1
YKL204W	EAP1	11	53704	55602	1
YDR462W	MRPL28	4	1386073	1386516	1
YMR273C	ZDS1	13	811233	813980	-1
YJL162C	JJJ2	10	113878	115629	-1
YMR175W-A		13	611314	611508	1
YLL054C		12	32673	35204	-1
YDL055C	PSA1	4	355674	356759	-1
YPR080W	TEF1	16	700594	701970	1
YFL017W-A	SMX2	6	103699	103932	1
YOL019W		15	288898	290553	1
YGL127C	SOH1	7	270392	270775	-1
YLR266C	PDR8	12	675619	677724	-1
YGR268C	HUA1	7	1026057	1026653	-1
YHL033C	RPL8A	8	35255	36025	-1
YGL063C-A		7	384502	384651	-1
YKR076W	ECM4	11	582283	583395	1
YJR130C	STR2	10	665218	667137	-1
YEL007W	MIT1	5	141892	143892	1
YMR285C	NGL2	13	840144	841691	-1
YBR104W	YMC2	2	449667	450656	1
YPL263C	KEL3	16	44551	46506	-1
YER096W	SHC1	5	351698	353236	1
YOR325W		15	924577	925050	1
YIL128W	MET18	9	113806	116904	1
YDR311W	TFB1	4	1085065	1086993	1
YKL088W	CAB3	11	275283	276998	1
YJL046W	AIM22	10	352386	353615	1
YLR228C	ECM22	12	600019	602463	-1
YER053C-A		5	260933	261046	-1
YKL056C	TMA19	11	334412	334915	-1
YPL037C	EGD1	16	481428	481901	-1
YDR459C	PFA5	4	1382319	1383443	-1
YOR357C	SNX3	15	1009224	1009712	-1
YNR004W	SWM2	14	635943	636383	1
YNL192W	CHS1	14	276502	279897	1
YGL068W	MNP1	7	375087	375671	1
YNL339W-B		14	734	1216	1
YKL096C-B		11	259073	259222	-1
YDL157C		4	174232	174588	-1
YOR007C	SGT2	15	338938	339978	-1
YJL029C	VPS53	10	388385	390853	-1
YBR105C	VID24	2	450881	451969	-1
YDL013W	SLX5	4	429067	430926	1
YJR052W	RAD7	10	532062	533759	1
YGL200C	EMP24	7	122694	123305	-1
YNL194C		14	272710	273615	-1
YDR260C	SWM1	4	976717	977229	-1
YPL012W	RRP12	16	529723	533409	1
YBL047C	EDE1	2	127895	132040	-1
YKR001C	VPS1	11	440608	442722	-1
YNR072W	HXT17	14	772657	774351	1
YLR157W-E		12	481873	482037	1
YBR154C	RPB5	2	548362	549009	-1
YPL156C	PRM4	16	255913	256767	-1
YKL048C	ELM1	11	347214	349136	-1
YJL020C	BBC1	10	398937	402410	-1
YPL105C	SYH1	16	352863	355412	-1
YLR251W	SYM1	12	641464	642057	1
YHR049C-A		8	207234	207530	-1
YGR113W	DAM1	7	718893	719924	1
YEL018C-A		5	121455	121988	-1
YHL006W-A		8	97732	98085	1
YGL008C	PMA1	7	479910	482666	-1
YBR253W	SRB6	2	723270	723635	1
YLR212C	TUB4	12	564860	566281	-1
YCR020C	PET18	3	154012	154659	-1
YDR340W		4	1150881	1151183	1
YJR141W		10	695906	696949	1
YHR060W	VMA22	8	220725	221270	1
YDR361C	BCP1	4	1195412	1196263	-1
YPL009C	TAE2	16	535820	538936	-1
YNL027W	CRZ1	14	579580	581616	1
YNL065W	AQR1	14	503724	505484	1
YNL211C		14	250055	250315	-1
YHL038C	CBP2	8	23617	25509	-1
YPL070W	MUK1	16	420948	422786	1
YOL111C	MDY2	15	108258	108896	-1
YDR075W	PPH3	4	597156	598082	1
YER009W	NTF2	5	172115	172492	1
YMR219W	ESC1	13	707133	712109	1
YFL034C-B	MOB2	6	63016	63993	-1
YIR011C	STS1	9	377287	378246	-1
YMR297W	PRC1	13	861922	863520	1
YIL139C	REV7	9	87979	88716	-1
YJR021C	REC107	10	468555	469579	-1
YDR254W	CHL4	4	965113	966489	1
YNL301C	RPL18B	14	63570	64562	-1
YPL005W	AEP3	16	548486	550306	1
YGL105W	ARC1	7	307437	308567	1
YBR255C-A		2	726618	727074	-1
YDL224C	WHI4	4	54397	56346	-1
YKL188C	PXA2	11	86225	88786	-1
YGR090W	UTP22	7	662358	666071	1
YKL062W	MSN4	11	323228	325120	1
YER044C	ERG28	5	237570	238016	-1
YNL315C	ATP11	14	43324	44280	-1
YLL049W	LDB18	12	40666	41205	1
YKL216W	URA1	11	25215	26159	1
YJL158C	CIS3	10	122265	122948	-1
YDR162C	NBP2	4	780390	781100	-1
YCR024C-B		3	162599	162865	-1
YJL202C		10	53943	54290	-1
YCR059C	YIH1	3	223454	224230	-1
YDL183C		4	130871	131833	-1
YKR046C	PET10	11	524223	525074	-1
YCL039W	GID7	3	52645	54882	1
YER140W		5	451565	453235	1
YPL069C	BTS1	16	422885	423892	-1
YOR386W	PHR1	15	1066839	1068536	1
YLR365W		12	855199	855531	1
YPL151C	PRP46	16	266180	267535	-1
YNL042W	BOP3	14	548100	549290	1
YHR207C	SET5	8	514905	516485	-1
YCR064C		3	228095	228505	-1
YDR171W	HSP42	4	806621	807748	1
YPL157W	TGS1	16	254814	255761	1
YLR227W-A		12	593438	594760	1
YDR479C	PEX29	4	1415210	1416874	-1
YAL034W-A	MTW1	1	79718	80587	1
YBR013C		2	265492	265881	-1
YOR258W	HNT3	15	811671	812324	1
YNR057C	BIO4	14	733356	734069	-1
YJL113W		10	198678	203325	1
YIL015W	BAR1	9	322342	324105	1
YGR161W-C		7	810227	810505	1
YHR127W		8	360913	361644	1
YFL018C	LPD1	6	101628	103127	-1
YNL328C	MDJ2	14	22834	23274	-1
YCL049C		3	39786	40724	-1
YLR072W		12	278862	280943	1
YHR111W	UBA4	8	333072	334394	1
YGL055W	OLE1	7	398628	400160	1
YBR288C	APM3	2	778012	779463	-1
YOL055C	THI20	15	224420	226075	-1
YOR347C	PYK2	15	984942	986462	-1
YGL065C	ALG2	7	379760	381271	-1
YHR013C	ARD1	8	130730	131446	-1
YOR307C	SLY41	15	892731	894092	-1
YAL042C-A		1	61231	61608	-1
YNL144C		14	352820	355042	-1
YIR038C	GTT1	9	423809	424513	-1
YLR230W		12	604574	604879	1
YAL046C	AIM1	1	57029	57385	-1
YPL193W	RSA1	16	181403	182548	1
YER147C-A		5	465203	465613	-1
YJL045W		10	356024	357928	1
YGR208W	SER2	7	911883	912812	1
YDR347W	MRP1	4	1169178	1170143	1
YER190C-B		5	575680	576162	-1
YKR078W		11	584952	586709	1
YDR201W	SPC19	4	856317	856814	1
YPR087W	VPS69	16	711354	711674	1
YLR027C	AAT2	12	196829	198085	-1
YOR275C	RIM20	15	839084	841069	-1
YML077W	BET5	13	111865	112344	1
YGL245W	GUS1	7	39023	41149	1
YHR058C	MED6	8	218997	219884	-1
YPR181C	SEC23	16	897361	899667	-1
YDL025W-A		4	405410	405514	1
YER190W	YRF1-2	5	571480	576525	1
YBR106W	PHO88	2	452658	453224	1
YHR018C	ARG4	8	140011	141402	-1
YPL197C		16	174343	174756	-1
YBR170C	NPL4	2	576344	578086	-1
YMR304W	UBP15	13	874987	878679	1
YDL211C		4	79294	80412	-1
YPL078C	ATP4	16	408010	408744	-1
YDR273W	DON1	4	1010176	1011273	1
YOL007C	CSI2	15	311342	312367	-1
YDR399W	HPT1	4	1270068	1270733	1
YLR064W	PER33	12	265456	266277	1
YKL181W	PRS1	11	107316	108599	1
YML047W-A		13	179893	180258	1
YGR192C	TDH3	7	882812	883810	-1
YGL045W	RIM8	7	414102	415730	1
YDL078C	MDH3	4	315357	316388	-1
YOL041C	NOP12	15	251267	252646	-1
YMR226C		13	721593	722396	-1
YHR200W	RPN10	8	499079	499885	1
YDR524C	AGE1	4	1487542	1488990	-1
YLR111W		12	370391	370723	1
YBR219C		2	662499	663303	-1
YMR122C		13	510701	511075	-1
YGR270W	YTA7	7	1027370	1031509	1
YPR125W	YLH47	16	787961	789325	1
YEL046C	GLY1	5	67629	68792	-1
YIR015W	RPR2	9	381948	382382	1
YGR136W	LSB1	7	762428	763153	1
YMR242C	RPL20A	13	753225	754220	-1
YLR379W		12	876922	877296	1
YDR204W	COQ4	4	858137	859144	1
YPL161C	BEM4	16	244319	246220	-1
YMR145C	NDE1	13	554793	556475	-1
YIR017W-A		9	383566	384165	1
YLL031C	GPI13	12	77152	80205	-1
YDR300C	PRO1	4	1061505	1062791	-1
YLR229C	CDC42	12	604212	604787	-1
YLR421C	RPN13	12	965090	965560	-1
YJR151C	DAN4	10	712255	715740	-1
YMR307C-A		13	887731	887925	-1
YPL096W	PNG1	16	366927	368018	1
YML038C	YMD8	13	202775	204103	-1
YJL082W	IML2	10	281185	283380	1
YIL006W	YIA6	9	344062	345183	1
YLR392C	ART10	12	904749	906305	-1
YGR075C	PRP38	7	636147	636875	-1
YBR268W	MRPL37	2	741299	741616	1
YDR316W	OMS1	4	1093763	1095178	1
YNR070W	PDR18	14	765375	769376	1
YKR020W	VPS51	11	478338	478832	1
YOL164W-A		15	4130	4312	1
YPR142C		16	818130	818693	-1
YNL145W	MFA2	14	352414	352530	1
YHR068W	DYS1	8	232133	233296	1
YEL010W		5	136279	136629	1
YOL013W-B		15	300690	300980	1
YGL160W	AIM14	7	200561	202273	1
YGR042W		7	579476	580291	1
YDR430C	CYM1	4	1325501	1328470	-1
YPR160W	GPH1	16	861306	864014	1
YER007W	PAC2	5	164527	166083	1
YGR095C	RRP46	7	675671	676342	-1
YCR041W		3	200911	201243	1
YFL033C	RIM15	6	69115	74427	-1
YDL089W	NUR1	4	296820	298274	1
YDR522C	SPS2	4	1483795	1485303	-1
YEL062W	NPR2	5	34407	36254	1
YBR026C	ETR1	2	292877	294019	-1
YLR143W		12	427329	429386	1
YMR125W	STO1	13	517539	520446	1
YLR126C		12	394765	395520	-1
YGL086W	MAD1	7	347119	349368	1
YNL129W	NRK1	14	381480	382202	1
YGL048C	RPT6	7	410069	411286	-1
YER106W	MAM1	5	372326	373234	1
YBR083W	TEC1	2	409169	410629	1
YJR012C		10	459795	460418	-1
YGR169C	PUS6	7	834689	835903	-1
YDR509W		4	1468226	1468573	1
Q0010		Mito	3952	4338	1
YMR074C		13	413036	413473	-1
YJL127W-A		10	180194	180310	1
YDR341C		4	1151803	1153626	-1
YDR521W		4	1483141	1483476	1
YMR269W	TMA23	13	804456	805091	1
YJR112W-A		10	637790	638168	1
YHR138C		8	377355	377699	-1
YBL039C-A		2	144948	145031	-1
YFL021W	GAT1	6	95966	97498	1
YPL144W	POC4	16	280480	280926	1
YML026C	RPS18B	13	222987	223828	-1
YEL053C	MAK10	5	53901	56102	-1
YHL020C	OPI1	8	66242	67456	-1
YGR106C	VOA1	7	698989	699786	-1
YLR444C		12	1023686	1023988	-1
YJR128W		10	662921	663280	1
YMR194C-B	CMC4	13	652594	652887	-1
YLR452C	SST2	12	1039270	1041366	-1
YMR005W	TAF4	13	276045	277211	1
YOL099C		15	132017	132508	-1
YLR363C	NMD4	12	852495	853151	-1
YIL023C	YKE4	9	309386	310426	-1
YGL115W	SNF4	7	292033	293001	1
YKL138C	MRPL31	11	185286	185681	-1
YOL109W	ZEO1	15	110297	110638	1
YGL002W	ERP6	7	494517	495167	1
YOR312C	RPL20B	15	900250	901194	-1
YLR179C		12	514108	514713	-1
YNL230C	ELA1	14	217523	218662	-1
YHL028W	WSC4	8	48763	50580	1
YCR015C		3	141217	142170	-1
YPR199C	ARR1	16	938148	939032	-1
YMR313C	TGL3	13	899379	901307	-1
YLR361C	DCR2	12	847388	849124	-1
YBR077C	SLM4	2	391805	392293	-1
YOR298W	MUM3	15	875599	877038	1
YDR380W	ARO10	4	1234218	1236125	1
YMR135W-A		13	539911	540444	1
YGL226C-A	OST5	7	72749	73158	-1
YDL177C		4	141209	141721	-1
YOL084W	PHM7	15	162356	165331	1
YLR069C	MEF1	12	271630	273915	-1
YDR060W	MAK21	4	570649	573726	1
YDL096C	OPI6	4	286998	287324	-1
YGR149W		7	789031	790329	1
YPL213W	LEA1	16	150614	151330	1
YPL203W	TPK2	16	166256	167398	1
YLL041C	SDH2	12	53131	53931	-1
YGL258W-A		7	9162	9395	1
YBL026W	LSM2	2	170623	171038	1
YBR076C-A		2	391351	391617	-1
YNR021W		14	668377	669591	1
YGR080W	TWF1	7	642010	643008	1
YBL055C		2	115573	116829	-1
YBR195C	MSI1	2	610614	611882	-1
YCR096C	HMRA2	3	293179	293538	-1
YIL172C	IMA3	9	16784	18553	-1
YPL191C		16	183597	184679	-1
YMR013C	SEC59	13	295179	296738	-1
YPL148C	PPT2	16	272294	272815	-1
YFL038C	YPT1	6	55366	55986	-1
YPL088W		16	381965	382993	1
YPL240C	HSP82	16	96496	98625	-1
YIL037C	PRM2	9	283029	284999	-1
YGL145W	TIP20	7	230243	232348	1
YLR232W		12	606830	607177	1
YNL004W	HRB1	14	622915	624621	1
YPR060C	ARO7	16	674861	675631	-1
YEL018W	EAF5	5	121471	122310	1
YEL043W		5	70478	73348	1
YHR069C	RRP4	8	233579	234658	-1
YLR323C	CWC24	12	778173	778952	-1
YGL172W	NUP49	7	180700	182118	1
YPL053C	KTR6	16	457118	458458	-1
YJR070C	LIA1	10	569621	570598	-1
YPL283C	YRF1-7	16	280	6007	-1
YDL143W	CCT4	4	199996	201582	1
YDR257C	RKM4	4	969990	971474	-1
YKL162C		11	147630	148838	-1
YHL027W	RIM101	8	51111	52988	1
YAR068W		1	222406	222891	1
YMR290C	HAS1	13	850074	851591	-1
YGR296C-A		7	1088870	1089445	-1
YDL021W	GPM2	4	413953	414888	1
YDR452W	PPN1	4	1362878	1364902	1
YPL211W	NIP7	16	153495	154040	1
YBR074W		2	386286	389216	1
YAL038W	CDC19	1	71786	73288	1
YBL071W-A	KTI11	2	89978	90226	1
YMR024W	MRPL3	13	321875	323047	1
YOL047C		15	241614	242747	-1
YDL018C	ERP3	4	422833	423510	-1
YLR147C	SMD3	12	434158	434463	-1
YIL061C	SNP1	9	244657	245559	-1
YML012W	ERV25	13	246116	246751	1
YHR187W	IKI1	8	480990	481919	1
Q0250	COX2	Mito	73758	74513	1
YGR155W	CYS4	7	798543	800066	1
YLR155C	ASP3-1	12	469317	470405	-1
YLR136C	TIS11	12	415801	416658	-1
YKR015C		11	466961	468667	-1
YDL060W	TSR1	4	341619	343985	1
YLR320W	MMS22	12	771940	776304	1
YIL069C	RPS24B	9	231553	232369	-1
YHR075C	PPE1	8	248439	249641	-1
YIL085C	KTR7	9	200490	202043	-1
YGL195W	GCN1	7	131525	139543	1
YDR062W	LCB2	4	576474	578159	1
YOL119C	MCH4	15	94856	96361	-1
YJR105W	ADO1	10	623581	624603	1
YNL289W	PCL1	14	87897	88736	1
YER161C	SPT2	5	499347	500348	-1
YNR036C	MRPS12	14	694361	694822	-1
YAL067C	SEO1	1	7235	9016	-1
YMR247C	RKR1	13	763351	768039	-1
YOR316C-A		15	907726	907935	-1
YJL096W	MRPL49	10	246490	246975	1
YMR111C		13	492404	493792	-1
YBR136W	MEC1	2	505668	512774	1
YKL059C	MPE1	11	328118	329443	-1
YGR018C		7	524365	524694	-1
YMR090W		13	449245	449928	1
YNR061C		14	742881	743540	-1
YGR119C	NUP57	7	728046	729671	-1
YGR235C	MOS2	7	961360	962061	-1
YER121W		5	402375	402719	1
YJL204C	RCY1	10	50629	53151	-1
YER180C-A	SLO1	5	550865	551122	-1
YMR294W-A		13	858209	858568	1
YGR209C	TRX2	7	912913	913227	-1
YMR306C-A		13	886183	886572	-1
YNL154C	YCK2	14	343636	345276	-1
YDL012C		4	431108	431517	-1
YBL064C	PRX1	2	100371	101156	-1
YDL181W	INH1	4	135179	135436	1
YOR392W		15	1079282	1079725	1
YMR133W	REC114	13	536207	537609	1
YKL029C	MAE1	11	382716	384725	-1
YPR106W	ISR1	16	740061	741392	1
YNL039W	BDP1	14	555048	556832	1
YDL149W	ATG9	4	184925	187918	1
YER170W	ADK2	5	525974	526651	1
YDR009W	GAL3	4	463434	464996	1
YBR282W	MRPL27	2	768240	768680	1
YGR187C	HGH1	7	870232	871416	-1
YLR007W	NSE1	12	164392	165402	1
YPL269W	KAR9	16	33013	34947	1
Q0110	BI2	Mito	36540	38579	1
YER013W	PRP22	5	178841	182278	1
YER060W	FCY21	5	274567	276153	1
YDR407C	TRS120	4	1284069	1287938	-1
YHR137W	ARO9	8	375709	377250	1
YHL034W-A		8	33176	33637	1
YGL009C	LEU1	7	476313	478652	-1
YGR058W	PEF1	7	606136	607143	1
YIR041W	PAU15	9	433929	434303	1
YIL008W	URM1	9	342536	342835	1
YBR192W	RIM2	2	607652	608785	1
YHR101C	BIG1	8	314874	315968	-1
YDR279W	RNH202	4	1019368	1020420	1
YBL009W	ALK2	2	207194	209224	1
YER029C	SMB1	5	212587	213177	-1
YLR243W		12	624203	625021	1
YOL048C	RRT8	15	240204	241310	-1
YJL025W	RRN7	10	393967	395511	1
YDR427W	RPN9	4	1322205	1323386	1
YDR246W	TRS23	4	954288	954947	1
YLR187W	SKG3	12	524865	527945	1
YER182W	FMP10	5	552525	553259	1
YDL024C	DIA3	4	408451	409857	-1
YMR137C	PSO2	13	542978	544963	-1
YNL163C	RIA1	14	326741	330073	-1
YMR228W	MTF1	13	724626	725651	1
YOL148C	SPT20	15	45760	47574	-1
YJR069C	HAM1	10	568806	569399	-1
YDR411C	DFM1	4	1293369	1294394	-1
YBR232C		2	683373	683732	-1
YIL066C	RNR3	9	238099	240708	-1
YNL061W	NOP2	14	510540	512396	1
YDR309C	GIC2	4	1079048	1080199	-1
YER095W	RAD51	5	349980	351182	1
YCR054C	CTR86	3	218376	220067	-1
YDR499W	LCD1	4	1447830	1450073	1
YJL138C	TIF2	10	153504	154691	-1
YJL063C	MRPL8	10	315759	316475	-1
YKR004C	ECM9	11	446799	448036	-1
YMR206W		13	675896	676837	1
YER092W	IES5	5	342855	343232	1
YLR410W	VIP1	12	937541	940981	1
YMR154C	RIM13	13	565999	568182	-1
YBR101C	FES1	2	443821	444693	-1
YDR544C		4	1525095	1525523	-1
YIL042C	PKP1	9	275108	276292	-1
YOL004W	SIN3	15	316938	321548	1
YHR112C		8	334527	335663	-1
YGL029W	CGR1	7	440063	440425	1
YPL261C		16	48996	49304	-1
YGR160W		7	807073	807684	1
YJR060W	CBF1	10	548759	549814	1
YDR437W	GPI19	4	1337352	1337774	1
YHL022C	SPO11	8	62961	64157	-1
YGR017W		7	523787	524680	1
YGL175C	SAE2	7	173285	174322	-1
YIL124W	AYR1	9	126204	127097	1
YLR305C	STT4	12	738161	743863	-1
YOR343C		15	968148	968474	-1
YGR234W	YHB1	7	959904	961103	1
YCR004C	YCP4	3	119575	120318	-1
YKL115C		11	222893	223285	-1
YKL028W	TFA1	11	385758	387206	1
YPR173C	VPS4	16	886524	887837	-1
YAL011W	SWC3	1	132199	134076	1
YPR137W	RRP9	16	802359	804080	1
YJL108C	PRM10	10	217705	218856	-1
YHR039C-A	VMA10	8	187173	187679	-1
YLR238W	FAR10	12	614755	616191	1
YNL067W	RPL9B	14	499681	500256	1
YEL016C	NPP2	5	124737	126218	-1
YEL020C		5	118617	120299	-1
YLR020C	YEH2	12	181789	183405	-1
YPL060W	MFM1	16	434523	435764	1
YER087W	AIM10	5	330576	332306	1
YIL156W-B		9	47690	47973	1
YOL087C		15	155287	158637	-1
YNL304W	YPT11	14	60297	61550	1
YHR056C	RSC30	8	215183	217834	-1
YNL092W		14	450871	452073	1
YJR110W	YMR1	10	633615	635681	1
YKL033W	TTI1	11	375456	378572	1
YPL152W	RRD2	16	265028	266104	1
YLR427W	MAG2	12	988428	990440	1
YHR214W		8	541651	542262	1
YLR049C		12	243886	245172	-1
YBR025C	OLA1	2	290681	291865	-1
YGL243W	TAD1	7	43307	44509	1
YNL208W		14	254418	255017	1
YER055C	HIS1	5	264892	265785	-1
YHR065C	RRP3	8	227532	229037	-1
YJR123W	RPS5	10	651901	652578	1
YDR405W	MRP20	4	1277646	1278437	1
YNL128W	TEP1	14	382359	383663	1
YGL163C	RAD54	7	193707	196403	-1
YDR426C		4	1321629	1322006	-1
YMR139W	RIM11	13	546125	547237	1
YDR442W		4	1345647	1346039	1
YJL128C	PBS2	10	178097	180103	-1
YDL217C	TIM22	4	67983	68606	-1
YJR002W	MPP10	10	438865	440646	1
YOL085C		15	161673	162014	-1
YPL094C	SEC62	16	369839	370663	-1
YJL157C	FAR1	10	123836	126328	-1
YER120W	SCS2	5	401135	401869	1
YAL037C-A		1	73426	73518	-1
YGL207W	SPT16	7	98969	102076	1
YDR516C	EMI2	4	1474974	1476476	-1
YLR315W	NKP2	12	764808	765269	1
YPL106C	SSE1	16	350194	352275	-1
YFR042W	KEG1	6	238458	239060	1
YLR256W	HAP1	12	646415	650923	1
YPR191W	QCR2	16	919381	920487	1
